email,firstName,lastName,startDate,employmentType,department,level,city,country,gender,salary,bonus
Charles.Baker@hookfish.com,Charles,Baker,2012-11-16,full time,Kitchen,4,Wichita,United States of America,Female,231769,5297
Nicholas.Kelly@hookfish.com,Nicholas,Kelly,2018-07-22,full time,Front of house,2,Anchorage,United States of America,Female,115881,33046
Nicole.Wood@hookfish.com,Nicole,Wood,2014-10-02,full time,Operations,2,Jacksonville,United States of America,Male,335840,16273
Alice.Richardson@hookfish.com,Alice,Richardson,2016-06-20,full time,Management,4,Chandler,United States of America,Male,239566,32985
Robert.Cook@hookfish.com,Robert,Cook,2019-04-01,full time,Operations,4,Portland,United States of America,Female,294367,33559
Sarah.Perry@hookfish.com,Sarah,Perry,2017-09-25,full time,Management,3,Santa Ana,United States of America,Female,295781,34673
Todd.Parker@hookfish.com,Todd,Parker,2018-12-08,full time,Operations,2,San Jose,United States of America,Male,52327,20062
Gerald.Watson@hookfish.com,Gerald,Watson,2020-04-04,full time,Front of house,2,Chicago,United States of America,Female,296648,33239
Jimmy.Allen@hookfish.com,Jimmy,Allen,2016-05-17,full time,Management,4,Huntington,United States of America,Female,213520,16173
Howard.Wilson@hookfish.com,Howard,Wilson,2012-03-05,full time,Operations,4,Raleigh,United States of America,Female,252193,26460
Debra.White@hookfish.com,Debra,White,2012-06-20,full time,Operations,2,Orlando,United States of America,Male,230316,13688
Albert.Perez@hookfish.com,Albert,Perez,2018-06-24,full time,Management,4,San Francisco,United States of America,Female,321891,25239
Judy.Sanders@hookfish.com,Judy,Sanders,2015-11-15,full time,Front of house,4,San Bernardino,United States of America,Male,237175,14489
Stephen.Jones@hookfish.com,Stephen,Jones,2013-12-27,full time,Kitchen,5,Chicago,United States of America,Female,301416,5109
Heather.Flores@hookfish.com,Heather,Flores,2018-01-14,full time,Front of house,1,Plano,United States of America,Female,258589,11778
Justin.Young@hookfish.com,Justin,Young,2012-01-29,full time,Kitchen,4,Montgomery,United States of America,Male,143908,12073
Jesse.Mitchell@hookfish.com,Jesse,Mitchell,2012-08-01,full time,Front of house,2,Memphis,United States of America,Male,175592,14627
Ruth.Rivera@hookfish.com,Ruth,Rivera,2019-12-12,full time,Front of house,4,Lexington-Fayette,United States of America,Female,300287,13044
Gary.Brown@hookfish.com,Gary,Brown,2012-11-02,full time,Management,5,Fort Worth,United States of America,Female,315074,12650
Fred.Hill@hookfish.com,Fred,Hill,2017-04-29,full time,Operations,5,New Orleans,United States of America,Male,104741,25289
Carlos.White@hookfish.com,Carlos,White,2012-06-07,full time,Front of house,1,Oklahoma City,United States of America,Female,158128,5056
Rose.Cox@hookfish.com,Rose,Cox,2018-11-19,full time,Kitchen,4,Plano,United States of America,Female,154568,28657
Jose.Perry@hookfish.com,Jose,Perry,2014-07-05,full time,Front of house,2,Lubbock,United States of America,Female,152057,8869
Paula.Anderson@hookfish.com,Paula,Anderson,2014-06-09,full time,Front of house,5,Jersey City,United States of America,Male,293081,7672
Barbara.Bailey@hookfish.com,Barbara,Bailey,2016-02-03,full time,Front of house,3,New York,United States of America,Female,268885,12420
